유기번호,발견장소,품종,색상,나이,체중,성별,중성화여부,특징
"444449202401323","서북구 성환읍 성월수향길 68","[개] 믹스견","갈색","2024(년생)","9.3(Kg)","F","N","2마리 함께 구조 , 7개월 추정 , 순함"
"444449202401322","서북구 성환읍 성월수향길 68","[개] 믹스견","흰색","2024(년생)","9.6(Kg)","M","N","2마리 함께 구조 , 7개월 추정 "
"444449202401319","서북구 천안대로 999-7 이안더센트럴","[개] 미디엄 푸들","갈색","2020(년생)","8.1(Kg)","M","Y","셀프미용을 함 , 순하고 사람을 좋아함"
"444449202401317","서북구 성환읍 신무길 42 신방1리새마을회관","[개] 믹스견","갈색","2024(60일미만)(년생)","3.2(Kg)","M","N","4마리 함께 구조 , 1달반 추정"
"444449202401314","서북구 성환읍 신무길 42 신방1리새마을회관","[개] 믹스견","흰색","2024(60일미만)(년생)","2.2(Kg)","F","N","4마리 함께 구조 , 1달반 추정"
"444449202401312","서북구 입장면 당곡1길 221","[개] 믹스견","갈색","2022(년생)","10(Kg)","F","U","겁은 있으나 순함, 진드기 감염"
"444449202401309","목천읍 응원1길 33-62 목천매립장","[개] 믹스견","갈색","2024(년생)","6(Kg)","M","N","경계있음 , 진드기 심함 , 7개월추정"
"444449202401298","서북구 성환읍 무내2길 복지아파트 앞","[개] 믹스견","흰색","2024(년생)","5(Kg)","F","N","겁 많음, 빨간 목줄 착용한 채 구조"
"444449202401289","동남구 충절로 369 호반써밋아파트 단지 내","[개] 믹스견","미색","2019(년생)","5(Kg)","M","N","포메라니안 믹스, 2마리 함께 구조, 심장사상충 양성"
"444449202401288","동남구 충절로 369 호반써밋아파트 단지 내","[개] 믹스견","미색","2019(년생)","5(Kg)","M","N","포메라니안 믹스, 2마리 함께 구조, 심장사상충 양성"
"444449202401278","병천면 가전4길 28","[개] 믹스견","흰색","2018(년생)","8(Kg)","M","N","마른편 , 처음 발견했을 당시 하늘색 옷을 입고있었음"
"444449202401276","동남구 풍세면 풍서1길 8","[개] 믹스견","흰","2024(년생)","4.6(Kg)","F","N","2마리 함께 구조, 순함, 4개월 추정"
"444449202401267","동남구 원성동 원성천 산책로 배수구","[개] 비숑 프리제","흰색","2019(년생)","7(Kg)","M","Y","털이 많이 엉켜 있었음"
"444449202401229","서북구 직산읍 삼은2길 16 이마트24 천안직산빌리지점","[개] 믹스견","갈색","2024(60일미만)(년생)","2(Kg)","M","N","3마리 함께 구조, 3개월 추정"
"444449202401228","서북구 직산읍 삼은2길 16 이마트24 천안직산빌리지점","[개] 믹스견","갈색","2024(년생)","2(Kg)","F","N","3마리 함께 구조, 3개월 추정"
"444449202401227","서북구 직산읍 삼은2길 16 이마트24 천안직산빌리지점","[개] 믹스견","갈색","2024(년생)","2.1(Kg)","F","N","3마리 함께 구조, 3개월 추정"
"444449202401205","동남구 충절로 1140 GS칼텍스 워터파크 주유소 앞 로터리","[개] 믹스견","검갈백","2022(년생)","10(Kg)","F","U","순함 , 약간 소심하지만 얌전함"
"444449202401204","동남구 풍세면 삼태리 360","[개] 삽살개","검정","2021(년생)","30(Kg)","F","U","결막염 심함 , 순함"
"444449202401191","동남구 성황로 30","[개] 믹스견","흰색","2021(년생)","6(Kg)","F","U","겁이 있지만 사람을 좋아함 , 순함 , 심장사상충 양성"
"444449202401176","동남구 천호지길 11","[개] 믹스견","흰색","2022(년생)","10(Kg)","F","U","우측 겨드랑이 열상에 의한 염증, 순하고 착함"
"444449202401168","동남구 병천면 매성2길 26-5","[개] 믹스견","갈색","2021(년생)","15(Kg)","F","U","겁은 있으나 사람을 싫어하지 않음"
"444449202401165","아산시 음봉면 산동리 (용혈리 야산)","[개] 믹스견","흰색","2024(년생)","7(Kg)","M","N","8개월 추정 , 사람을 좋아하고 활발함"
"444449202401152","서북구 입장면 가산연곡길 34","[개] 믹스견","흰색","2024(년생)","5(Kg)","F","U","경계있음 , 5개월 추정"
"444449202401148","서북구 성환읍 무내3길 47","[개] 라브라도 리트리버","갈색","2017(년생)","25(Kg)","M","N","사상충 양성 , 순하고 사람을 좋아함"
"444449202401126","동남구 구룡동 452-3 인근","[개] 푸들","갈색","2016(년생)","4(Kg)","M","Y","치석이 많고 치은염 있음, 겁은 있으나 순함"
"444449202401118","동남구 병천면 충절로 160 한국기술대학교 인근","[개] 비숑 프리제","흰색","2016(년생)","10(Kg)","M","Y","노란색 하네스를 착용한 채 구조 , 순하고 사람을 좋아함"
